"CUST_ID","LAST_NAME","FIRST_NAME","EMAIL","STREET_ADDRESS","POSTAL_CODE","CITY","STATE_PROVINCE","COUNTRY","COUNTRY_CODE","CONTINENT","YRS_CUSTOMER","PROMOTION_RESPONSE","LOC_LAT","LOC_LONG","AGE","COMMUTE_DISTANCE","CREDIT_BALANCE","EDUCATION","FULL_TIME","GENDER","HOUSEHOLD_SIZE","INCOME","INCOME_LEVEL","INSUFF_FUNDS_INCIDENTS","JOB_TYPE","LATE_MORT_RENT_PMTS","MARITAL_STATUS","MORTGAGE_AMT","NUM_CARS","NUM_MORTGAGES","PET","RENT_OWN","SEGMENT_ID","WORK_EXPERIENCE","YRS_CURRENT_EMPLOYER","YRS_RESIDENCE"
1346641,"Pigafetta","Clifton","clifton.pigafetta@oraclemail.com","Via Quattro Querci","51034","Stazione Masotti","Pistoia","Italy","IT","Europe",3,0,43.91076,10.85681,51,14,109,"Masters","Yes","Male",1,38873,"B: 30,000 - 49,999",0,"Labor",0,"S",0,1,0,"Unknown","Rent",6,20,5,8
1377088,"Cambria","Ajanta","ajanta.cambria@oraclemail.com","Via Roma","36076","Recoaro Terme","Vicenza","Italy","IT","Europe",3,0,45.70511,11.22594,38,4,176,"Doctorate","Yes","Female",5,74505,"D: 70,000 - 89,999",1,"Professional",5,"M",290000,2,2,"Dog","Own",3,10,2,3
1356650,"Nardini","Oliver","oliver.nardini@oraclemail.com","22 Via San Zanobi","50129","Firenze","Firenze","Italy","IT","Europe",5,0,43.77835,11.25477,48,1,135,"Bachelors","Yes","Male",1,124288.8,"F: Above 110,000",0,"Business",0,"S",0,1,0,"Unknown","Rent",6,20,6,10
1356656,"Bodei","Riocard","riocard.bodei@oraclemail.com","30 Via Anna Magnani","58100","Grosseto","Grosseto","Italy","IT","Europe",2,0,42.73921,11.11037,47,16,127,"High School","Yes","Male",1,6172.5,"A: Below 30,000",1,"Professional",1,"S",20000,1,1,"Unknown","Own",6,2,2,16
1356657,"Biondi","Amaury","amaury.biondi@oraclemail.com","Via Guglielmo Marconi","31020","San Zenone Degli Ezzelini","Treviso","Italy","IT","Europe",1,0,45.77969,11.84801,42,30,290,"Associates","Yes","Male",1,70969.5,"D: 70,000 - 89,999",0,"Professional",0,"S",0,1,0,"Unknown","Rent",6,16,4,17
1356668,"Tarquini","Balhikapungava","balhikapungava.tarquini@oraclemail.com","7 Via Don Luigi Sturzo","08100","Nuoro","Nuoro","Italy","IT","Europe",2,0,40.31043,9.32243,40,18,121,"Masters","Yes","Male",3,53554.5,"C: 50,000 - 69,999",0,"Labor",0,"M",360000,2,2,"Dog","Own",6,19,15,2
1350566,"Gois","Kutilagesa","kutilagesa.gois@oraclemail.com","Strada Statale Nuova Paullese","20090","Caleppio","Milano","Italy","IT","Europe",8,0,45.42761,9.39304,47,10,335,"Doctorate","Yes","Male",7,45730,"B: 30,000 - 49,999",2,"Skilled",3,"M",440000,2,2,"Other","Own",6,12,9,20
1335573,"Savio","Ati","ati.savio@oraclemail.com","46 Corso Milano","20900","Monza","Monza E Brianza","Italy","IT","Europe",6,0,45.57703,9.27105,47,2,191,"Doctorate","Yes","Male",1,14499,"A: Below 30,000",2,"Labor",1,"S",60000,1,1,"Unknown","Own",6,24,1,20
1335574,"Mondolfo","Akhanda","akhanda.mondolfo@oraclemail.com","Via Roma","86087","Rionero Sannitico","Isernia","Italy","IT","Europe",2,0,41.71236,14.14003,50,40,196,"Masters","Yes","Male",3,123955.2,"F: Above 110,000",0,"Business",0,"M",90000,2,2,"Dog","Own",6,22,14,2
1380816,"Aquilina","Raul","raul.aquilina@oraclemail.com","15 Via Tommaso Grossi","20037","Paderno Dugnano","Milano","Italy","IT","Europe",2,0,45.5805,9.16261,34,0,38,"Doctorate","No","Male",5,134242.5,"F: Above 110,000",0,"Professional",2,"M",0,2,0,"Unknown","Rent",3,14,4,7
1335576,"Catenacci","Amulas","amulas.catenacci@oraclemail.com","22 Via Edimburgo","50126","Firenze","Firenze","Italy","IT","Europe",2,0,43.76048,11.29697,41,3,198,"Bachelors","Yes","Male",5,85294.4,"D: 70,000 - 89,999",0,"Services",0,"M",500000,2,2,"Dog","Own",6,15,11,7
1371187,"Canepanova","Sathya","sathya.canepanova@oraclemail.com","352 Viale Guglielmo Marconi","65127","Pescara","Pescara","Italy","IT","Europe",2,0,42.45274,14.2269,36,11,72,"Bachelors","No","Male",3,110361,"F: Above 110,000",1,"Sales",0,"M",310000,2,1,"Other","Own",4,11,4,2
1346400,"Brazzi","Noe","noe.brazzi@oraclemail.com","16 Via Della Marrocca","01100","Viterbo","Viterbo","Italy","IT","Europe",8,0,42.41733,12.10788,50,29,483,"Bachelors","Yes","Male",5,70723.2,"D: 70,000 - 89,999",0,"Business",1,"M",110000,2,2,"Dog","Own",6,12,12,18
1380821,"Fuseli","Yasser","yasser.fuseli@oraclemail.com","Via Del Duomo","10064","Pinerolo","Torino","Italy","IT","Europe",5,0,44.88606,7.33066,38,4,279,"Bachelors","No","Male",3,86205.6,"D: 70,000 - 89,999",0,"Business",0,"M",0,2,0,"Unknown","Rent",3,14,7,5
1346408,"Ralli","Beni","beni.ralli@oraclemail.com","155 Via San Mamolo","40136","Bologna","Bologna","Italy","IT","Europe",7,0,44.47646,11.33599,49,30,294,"LessThanHS","Yes","Male",1,52152,"C: 50,000 - 69,999",0,"None",0,"S",0,1,0,"Unknown","Rent",6,19,2,15
1346421,"Brando","Amastan","amastan.brando@oraclemail.com","Via Di Vallerozzi","53100","Siena","Siena","Italy","IT","Europe",10,0,43.32369,11.33288,40,23,432,"Bachelors","Yes","Male",5,69931,"C: 50,000 - 69,999",0,"Skilled",1,"M",300000,2,2,"Dog","Own",6,15,10,18
1308085,"Graziadei","Brooks","brooks.graziadei@oraclemail.com","12 Piazza Martiri Della Libertà","43017","San Secondo Parmense","Parma","Italy","IT","Europe",1,0,44.92228,10.22901,23,0,1183,"Bachelors","No","Non-binary",3,70170,"D: 70,000 - 89,999",1,"Sales",0,"M",0,1,0,"Other","Rent",3,3,1,1
1307568,"Lentini","Jitrendra","jitrendra.lentini@oraclemail.com","26 Via Castellana","90135","Palermo","Palermo","Italy","IT","Europe",1,0,38.12565,13.30689,41,1,147,"Bachelors","Yes","Male",2,91121.6,"E: 90,000 - 109,999",0,"Services",0,"M",0,1,0,"Unknown","Rent",6,20,7,1
1308043,"Bacardi","Buddhagupta","buddhagupta.bacardi@oraclemail.com","24 Via Cividale","33100","Udine","Udine","Italy","IT","Europe",6,0,46.06889,13.24644,52,3,169,"Masters","Yes","Male",1,97827.6,"E: 90,000 - 109,999",0,"Business",0,"S",260000,1,1,"Unknown","Own",6,22,3,11
1313315,"Rossellino","Vui","vui.rossellino@oraclemail.com","74 Corso Indipendenza","10086","Rivarolo Canavese","Torino","Italy","IT","Europe",2,0,45.33632,7.71963,38,0,259,"High School","","Female",4,54154.5,"C: 50,000 - 69,999",1,"Professional",1,"M",310000,1,2,"Other","Own",3,17,,2
1308052,"Talenti","Rushe","rushe.talenti@oraclemail.com","7 Via Ponte Nuovo","37121","Verona","Verona","Italy","IT","Europe",9,0,45.44345,11.00036,50,31,411,"LessThanHS","Yes","Male",1,5739.6,"A: Below 30,000",0,"Business",0,"S",0,1,0,"Unknown","Rent",6,20,7,15
1313318,"Cuoco","Firuz","firuz.cuoco@oraclemail.com","Piazza Madre Teresa Di Calcutta","55100","Lucca","Lucca","Italy","IT","Europe",3,0,43.84979,10.51928,34,0,185,"Doctorate","No","Male",5,96710,"E: 90,000 - 109,999",0,"Skilled",2,"M",0,2,0,"Unknown","Rent",3,13,5,3
1292734,"Cascio","Paget","paget.cascio@oraclemail.com","42 Via Giuseppe Di Vittorio","42020","Forche","Reggio Nell'Emilia","Italy","IT","Europe",2,0,44.63371,10.57374,48,31,108,"Bachelors","Yes","Male",1,115268,"F: Above 110,000",0,"None",0,"S",220000,1,1,"Unknown","Own",6,29,2,7
1313323,"Aiello","Abhidhya","abhidhya.aiello@oraclemail.com","11 Via Nazario Sauro","60035","Jesi","Ancona","Italy","IT","Europe",5,0,43.52362,13.2436,28,11,465,"Bachelors","Yes","Female",3,121716,"F: Above 110,000",1,"Business",0,"M",0,2,0,"Other","Rent",3,3,2,1
1310664,"Menicossa","Nedda","nedda.menicossa@oraclemail.com","Via Giuseppe Mazzini","21028","Travedona-Monate","Varese","Italy","IT","Europe",4,0,45.80702,8.678,22,9,916,"Masters","No","Female",4,56949.6,"C: 50,000 - 69,999",2,"Business",4,"M",0,1,0,"Unknown","Rent",3,2,2,2
1292740,"Nesi","Brooks","brooks.nesi@oraclemail.com","177 Corso Giuseppe Mazzini","88100","Catanzaro","Catanzaro","Italy","IT","Europe",9,0,38.90554,16.59263,51,21,372,"LessThanHS","Yes","Male",1,26268,"A: Below 30,000",0,"Professional",2,"S",0,1,0,"Unknown","Rent",6,14,7,15
1310667,"Cosmo","Brahmayasas","brahmayasas.cosmo@oraclemail.com","Via Regia","55049","Viareggio","Lucca","Italy","IT","Europe",1,0,43.86656,10.25256,36,6,243,"LessThanHS","No","Male",3,19048.5,"A: Below 30,000",0,"Administrative",0,"M",0,1,0,"Unknown","Rent",3,7,3,1
1296767,"Ottoboni","Abhisu","abhisu.ottoboni@oraclemail.com","253 Via Pretoria","85100","Potenza","Potenza","Italy","IT","Europe",2,0,40.63949,15.80725,52,3,9,"Bachelors","Yes","Male",5,75776,"D: 70,000 - 89,999",0,"Sales",0,"M",40000,2,2,"Other","Own",6,5,5,7
1338194,"Buonaiuti","Gaurav","gaurav.buonaiuti@oraclemail.com","Via Olginati","22100","Como","Como","Italy","IT","Europe",5,0,45.81121,9.08023,33,8,24,"Bachelors","No","Male",3,85542,"D: 70,000 - 89,999",3,"Professional",3,"M",250000,2,1,"Other","Own",3,9,7,5
1328006,"Albergati","Inder","inder.albergati@oraclemail.com","10 Via Irnerio","40126","Bologna","Bologna","Italy","IT","Europe",3,0,44.50041,11.34824,32,1,231,"Bachelors","No","Male",3,140098.92,"F: Above 110,000",1,"Science/Tech",0,"M",290000,2,1,"Dog","Own",3,5,5,3
1328010,"Lapaglia","Kavan","kavan.lapaglia@oraclemail.com","1 Via Alcide De Gasperi","31040","Signoressa","Treviso","Italy","IT","Europe",1,0,45.74982,12.10678,41,1,106,"Masters","Yes","Male",1,54880.5,"C: 50,000 - 69,999",0,"Labor",0,"S",0,1,0,"Unknown","Rent",6,20,5,11
1328554,"Marinetti","Debasis","debasis.marinetti@oraclemail.com","56 Via Sodine","03100","Frosinone","Frosinone","Italy","IT","Europe",5,0,41.64284,13.30929,24,0,290,"Doctorate","No","Male",5,56262,"C: 50,000 - 69,999",3,"Business",5,"M",0,1,0,"Other","Rent",3,1,1,3
1328556,"Caliari","Amararatna","amararatna.caliari@oraclemail.com","15 Via Generale Giuseppe Arimondi","90143","Palermo","Palermo","Italy","IT","Europe",5,0,38.13659,13.35101,49,34,25,"Masters","Yes","Male",6,49623,"B: 30,000 - 49,999",1,"None",2,"M",0,1,0,"Unknown","Rent",6,6,6,19
1333413,"Stefaneschi","Nellina","nellina.stefaneschi@oraclemail.com","7 Strada Delle Saline","34015","Noghere","Trieste","Italy","IT","Europe",2,0,45.59409,13.79811,26,10,451,"Associates","No","Female",5,23667.3,"A: Below 30,000",0,"Administrative",2,"M",0,2,0,"Unknown","Rent",3,3,1,3
1328557,"Evangelista","Jayaratha","jayaratha.evangelista@oraclemail.com","Via Girolamo Savonarola","35137","Padova","Padova","Italy","IT","Europe",9,0,45.41162,11.86799,42,30,273,"LessThanHS","Yes","Male",1,30579.12,"B: 30,000 - 49,999",0,"Science/Tech",2,"S",0,1,0,"Unknown","Rent",6,11,6,15
1326974,"Eruzione","Arenu","arenu.eruzione@oraclemail.com","Via Giuseppe Garibaldi","09127","Cagliari","Cagliari","Italy","IT","Europe",3,0,39.21796,9.12005,29,0,534,"LessThanHS","No","Male",3,7318.5,"A: Below 30,000",0,"Professional",0,"M",0,1,0,"Unknown","Rent",3,0,0,1
1290109,"Luiso","Purushottam","purushottam.luiso@oraclemail.com","Via Dei Maratoneti","74023","Grottaglie","Taranto","Italy","IT","Europe",10,0,40.52664,17.43827,51,12,30,"Bachelors","Yes","Male",1,173254.5,"F: Above 110,000",0,"Professional",0,"S",100000,1,1,"Unknown","Own",6,19,7,10
1338622,"Rufillo","Harasvarupa","harasvarupa.rufillo@oraclemail.com","14 Via Stanislao Martucci","88833","Cerenzia","Crotone","Italy","IT","Europe",3,0,39.2449,16.78285,36,6,390,"Bachelors","No","Male",3,119100,"F: Above 110,000",1,"Business",0,"M",290000,2,2,"Other","Own",3,7,5,3
1291165,"Ghiberti","Jatakara","jatakara.ghiberti@oraclemail.com","33 Viale Rimembranza","86097","Sessano Del Molise","Isernia","Italy","IT","Europe",2,0,41.6377,14.33225,44,4,16,"Masters","Yes","Male",1,90103.2,"E: 90,000 - 109,999",0,"Business",0,"S",20000,1,1,"Unknown","Own",6,12,2,2
1338626,"Brunetti","Michela","michela.brunetti@oraclemail.com","5 Via Gaetano Salvemini","50058","Signa","Firenze","Italy","IT","Europe",1,0,43.79314,11.10103,32,3,109,"Masters","No","Female",4,94515.6,"E: 90,000 - 109,999",0,"Business",1,"M",0,2,0,"Unknown","Rent",3,9,3,1
1338629,"D'Alema","Gurudeva","gurudeva.d'alema@oraclemail.com","Viale Scala Greca","96100","Siracusa","Siracusa","Italy","IT","Europe",4,0,37.08742,15.27283,38,8,267,"LessThanHS","No","Male",3,74251.5,"D: 70,000 - 89,999",0,"Professional",0,"M",0,1,0,"Unknown","Rent",3,4,4,9
1291172,"Carbonetti","Raghunand","raghunand.carbonetti@oraclemail.com","16 Via Marco Polo","20124","Milano","Milano","Italy","IT","Europe",10,0,45.47973,9.19568,40,4,56,"Doctorate","Yes","Male",7,89187.6,"D: 70,000 - 89,999",0,"Business",0,"M",330000,2,2,"Other","Own",6,7,6,15
1338637,"Ciriaco","Ara","ara.ciriaco@oraclemail.com","Via Roma","18030","San Michele","Imperia","Italy","IT","Europe",3,0,43.87913,7.53461,29,3,922,"Bachelors","No","Male",3,36498,"B: 30,000 - 49,999",1,"Business",3,"M",0,2,0,"Other","Rent",3,4,1,1
1340465,"Cesaresco","Wu-Han","wu-han.cesaresco@oraclemail.com","9 Via Corsica","73010","San Donato Di Lecce","Lecce","Italy","IT","Europe",2,0,40.26663,18.18278,26,3,625,"Doctorate","No","Male",5,97404,"E: 90,000 - 109,999",1,"Business",2,"M",0,1,0,"Other","Rent",3,0,0,3
1291772,"Andriani","Ksitilavabhuj","ksitilavabhuj.andriani@oraclemail.com","69 Via Roma","98050","Malfa","Messina","Italy","IT","Europe",8,0,38.57865,14.83724,44,38,172,"Masters","Yes","Male",1,126325.5,"F: Above 110,000",0,"Professional",0,"S",80000,1,1,"Unknown","Own",6,14,5,8
1340993,"Manetti","Anibal","anibal.manetti@oraclemail.com","Via Santa Maria Arabona","65024","Santa Maria D'Arabona","Pescara","Italy","IT","Europe",2,0,42.30242,14.06187,29,3,580,"Associates","No","Male",5,34269,"B: 30,000 - 49,999",0,"Skilled",2,"M",0,2,0,"Unknown","Rent",3,9,2,3
1291774,"Lagorio","Hrachik","hrachik.lagorio@oraclemail.com","1 Via Sant'Antonio","06012","Città Di Castello","Perugia","Italy","IT","Europe",10,0,43.45758,12.24107,48,25,319,"High School","Yes","Male",3,42162,"B: 30,000 - 49,999",1,"Business",1,"M",470000,2,2,"Dog","Own",6,29,11,16
1342722,"Cantimori","Gaston","gaston.cantimori@oraclemail.com","14 Via Valtravaglia","00141","Roma","Roma","Italy","IT","Europe",1,0,41.94309,12.51724,29,12,968,"Masters","No","Male",4,141928.8,"F: Above 110,000",1,"Science/Tech",1,"M",0,2,0,"Other","Rent",3,8,2,2
1293676,"Baronti","Immeghar","immeghar.baronti@oraclemail.com","120 Via Dell'Uva","91100","Trapani","Trapani","Italy","IT","Europe",9,0,38.02638,12.53696,40,7,139,"Masters","Yes","Male",6,117974,"F: Above 110,000",0,"Sales",0,"M",290000,1,1,"Unknown","Own",6,8,8,14
1343262,"Bacardi","Bhaktaraja","bhaktaraja.bacardi@oraclemail.com","41 Via Giosuè Borsi","36060","San Giacomo-Fellette","Vicenza","Italy","IT","Europe",4,0,45.7771,11.77181,28,4,692,"Bachelors","No","Male",3,64405,"C: 50,000 - 69,999",3,"Sales",3,"M",0,2,0,"Other","Rent",3,5,1,1
1293686,"Amocacci","Ramani","ramani.amocacci@oraclemail.com","2 Via Sant'Orsola","50123","Firenze","Firenze","Italy","IT","Europe",10,0,43.77695,11.25482,50,36,15,"Bachelors","Yes","Male",5,45005.4,"B: 30,000 - 49,999",0,"Administrative",1,"M",330000,2,2,"Dog","Own",6,13,7,18
1345130,"Porchianelo","Wilburn","wilburn.porchianelo@oraclemail.com","163 Via Dei Volsci","00185","Roma","Roma","Italy","IT","Europe",1,0,41.89987,12.5189,35,3,11,"Doctorate","No","Male",5,67555.8,"C: 50,000 - 69,999",1,"Administrative",2,"M",330000,1,1,"Other","Own",3,10,3,1
1293704,"Porcaro","Nikita","nikita.porcaro@oraclemail.com","208 Via Nicolò Biondo","41126","Modena","Modena","Italy","IT","Europe",1,0,44.65243,10.89993,51,31,10,"Masters","Yes","Male",1,88987,"D: 70,000 - 89,999",0,"Sales",0,"S",0,1,0,"Unknown","Rent",6,27,2,11
1345134,"Ciocchi","Rosendo","rosendo.ciocchi@oraclemail.com","Piazzale Di Ponte Milvio","00135","Roma","Roma","Italy","IT","Europe",1,0,41.93715,12.46605,36,12,51,"Bachelors","No","Male",3,179173.5,"F: Above 110,000",1,"Professional",0,"M",330000,1,2,"Other","Own",3,4,3,1
1345139,"Miniato","Bhaskar","bhaskar.miniato@oraclemail.com","8 Via Roma","83058","Trevico","Avellino","Italy","IT","Europe",2,0,41.04941,15.23408,34,9,175,"Masters","No","Male",4,54556.5,"C: 50,000 - 69,999",2,"Professional",4,"M",0,2,0,"Unknown","Rent",3,2,2,7
1295791,"Chieregati","Sosik","sosik.chieregati@oraclemail.com","1 Via Nuova","38067","Pieve Di Ledro","Trento","Italy","IT","Europe",6,0,45.88824,10.73222,42,16,190,"Masters","Yes","Male",1,107131.2,"E: 90,000 - 109,999",0,"Business",0,"S",260000,1,1,"Unknown","Own",6,15,1,11
1345145,"Barattin","Ilse","ilse.barattin@oraclemail.com","1 Via Vittorio Emanuele","80026","Casoria","Napoli","Italy","IT","Europe",1,0,40.9076,14.28892,25,1,456,"Bachelors","No","Female",3,95346,"E: 90,000 - 109,999",0,"Administrative",0,"M",0,1,0,"Unknown","Rent",3,6,1,1
1346092,"Esini","Yub","yub.esini@oraclemail.com","Via Roma","73040","Neviano","Lecce","Italy","IT","Europe",4,0,40.11034,18.11383,24,10,980,"Masters","No","Male",4,83807.2,"D: 70,000 - 89,999",1,"Services",1,"M",0,2,0,"Other","Rent",3,5,2,2
1350247,"Galante","Tommie","tommie.galante@oraclemail.com","Via Sant'Antonio","67053","Corumello","L'Aquila","Italy","IT","Europe",4,0,42.00791,13.34623,39,0,392,"Doctorate","No","Male",5,33868,"B: 30,000 - 49,999",3,"Skilled",5,"M",270000,2,2,"Other","Own",3,4,4,4
1334366,"Lentini","Hridaya","hridaya.lentini@oraclemail.com","Via Roma","81010","Gallo Matese","Caserta","Italy","IT","Europe",2,0,41.46376,14.22545,53,23,267,"Bachelors","Yes","Male",5,34417.2,"B: 30,000 - 49,999",0,"Business",3,"M",320000,2,2,"Other","Own",6,34,9,18
1350267,"Panizzi","Mimum","mimum.panizzi@oraclemail.com","28 Via San Carlo","80133","Napoli","Napoli","Italy","IT","Europe",1,0,40.83812,14.25031,33,12,302,"Doctorate","No","Male",5,97044,"E: 90,000 - 109,999",1,"Business",2,"M",330000,2,1,"Other","Own",3,13,3,1
1350808,"Fazio","Hilario","hilario.fazio@oraclemail.com","12 Via Vial","39052","Caldaro Sulla Strada Del Vino","Bolzano","Italy","IT","Europe",5,0,46.42001,11.23665,26,1,435,"Doctorate","No","Male",5,112153.5,"F: Above 110,000",0,"Professional",2,"M",0,2,0,"Unknown","Rent",3,5,2,3
1346298,"Infusino","Aksunna","aksunna.infusino@oraclemail.com","520 Via Delle Valli","41037","San Martino Spino","Modena","Italy","IT","Europe",5,0,44.93541,11.23492,43,2,159,"LessThanHS","Yes","Male",1,55625.4,"C: 50,000 - 69,999",0,"Administrative",0,"S",0,1,0,"Unknown","Rent",6,18,6,15
1350811,"Malabranca","Antje","antje.malabranca@oraclemail.com","Via Carlo Gozzi","61032","Fano","Pesaro E Urbino","Italy","IT","Europe",2,0,43.83326,13.00356,37,11,312,"LessThanHS","No","Female",3,5516,"A: Below 30,000",0,"Skilled",0,"M",0,2,0,"Unknown","Rent",3,12,1,7
1350812,"Boccasino","Zhen-Ying","zhen-ying.boccasino@oraclemail.com","35 Corso Camillo Benso Di Cavour","27100","Pavia","Pavia","Italy","IT","Europe",3,0,45.18656,9.14978,37,5,221,"Associates","No","Male",5,3079.2,"A: Below 30,000",0,"Business",2,"M",0,2,0,"Unknown","Rent",3,3,3,3
1346306,"Tacchinardi","Denis","denis.tacchinardi@oraclemail.com","31 Piazza Vittorio Emanuele Ii","76011","Bisceglie","Barletta-Andria-Trani","Italy","IT","Europe",3,0,41.2392,16.50122,54,13,70,"Masters","Yes","Male",6,87609.6,"D: 70,000 - 89,999",0,"Services",0,"M",0,1,0,"Unknown","Rent",6,16,6,8
1350813,"Covi","Abhidya","abhidya.covi@oraclemail.com","10 Via Armando Businco","09121","Cagliari","Cagliari","Italy","IT","Europe",2,0,39.25311,9.10164,30,4,19,"Masters","Yes","Female",4,88854,"D: 70,000 - 89,999",1,"Business",1,"M",0,1,0,"Other","Rent",3,1,1,2
1345129,"Bastedo","Thai","thai.bastedo@oraclemail.com","Piazza Della Libertà","50038","Sant'Agata","Firenze","Italy","IT","Europe",2,0,44.02114,11.33508,44,17,97,"Masters","Yes","Male",3,132272.4,"F: Above 110,000",0,"Business",0,"M",290000,2,2,"Dog","Own",6,2,2,2
1350818,"Cortesi","Ailionora","ailionora.cortesi@oraclemail.com","10 Via Paolo Sarpi","33078","San Vito Al Tagliamento","Pordenone","Italy","IT","Europe",4,0,45.91543,12.85618,38,6,129,"Bachelors","No","Female",3,132096.12,"F: Above 110,000",0,"Science/Tech",0,"M",0,2,0,"Unknown","Rent",3,13,1,9
1334934,"Schiaffino","Eli","eli.schiaffino@oraclemail.com","37 Via Del Camporegio","53100","Siena","Siena","Italy","IT","Europe",5,0,43.32,11.32797,43,0,153,"Bachelors","Yes","Male",1,113520,"F: Above 110,000",0,"Business",0,"S",0,1,0,"Unknown","Rent",6,11,3,10
1360271,"Ferrario","Mabelle","mabelle.ferrario@oraclemail.com","Piazza Di San Macuto","00186","Roma","Roma","Italy","IT","Europe",5,0,41.89921,12.47952,26,0,763,"LessThanHS","","Female",3,4430,"A: Below 30,000",3,"Sales",3,"M",0,2,0,"Other","Rent",3,5,,1
1359705,"Golino","Katti","katti.golino@oraclemail.com","26 Via Gianni Cecchin","36063","Marostica","Vicenza","Italy","IT","Europe",6,0,45.75154,11.66123,43,29,23,"Doctorate","Yes","Male",1,59282.4,"C: 50,000 - 69,999",2,"Business",3,"S",60000,1,1,"Unknown","Own",6,15,7,20
1360283,"De Negri","Guruda","guruda.de negri@oraclemail.com","Piazza Emanuele Filiberto","24126","Bergamo","Bergamo","Italy","IT","Europe",1,0,45.67314,9.66184,29,8,442,"Masters","Yes","Non-binary",4,110455.5,"F: Above 110,000",1,"Professional",1,"M",0,2,0,"Other","Rent",3,4,2,2
